Requirement ID,Requirement description,Offered (Yes/Partial/No),Available now or roadmap (date),How it is delivered (short description),Assumptions,Dependencies (who or what),"Evidence (case study, reference, documentation)",Implementation effort estimate (vendor and NGEX),Key risks and mitigations,Notes / limitations
R-1,"Role declaration: Respondent can explicitly state which role(s) they are responding as (tokenization platform, custodian, CSD-like/depository, transfer agent/registrar-like, orchestration/integration layer, end-to-end provider, other) and define boundaries.",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
R-3,"Operating model documentation: Respondent supports documentation of the end-to-end operating model, including Day-2 operations (monitoring, breaks, incident handling, reconciliations, reporting).",,,,,,,,,
R-4,"Workflow ownership mapping: Respondent supports explicit workflow ownership mapping per process step (who acts, who approves, who operates, who is accountable).",,,,,,,,,
R-5,"Deployment model suitability: Respondent supports deployment model(s) suitable for market-infrastructure environments (SaaS, managed service, on-prem, hybrid) and can state constraints.",,,,,,,,,
R-6,"Resilience and recovery: Respondent can meet stated availability/resilience expectations and provide RTO/RPO, plus known constraints.",,,,,,,,,
R-7,"Observability: Respondent provides observability (metrics, logging, tracing) plus monitoring and alerting suitable for production operations.",,,,,,,,,
R-8,"Integration patterns: Respondent supports integration patterns required for external trade confirmation ingestion and downstream processing triggers (APIs, FIX, file, event streaming, webhooks), and can state performance constraints.",,,,,,,,,
R-9,Digital twin support: Respondent supports a digital twin model with defined controls to maintain 1:1 supply alignment between immobilised underlying and tokens.,,,,,,,,,
R-10,"Native issuance support: Respondent supports native digital issuance model (or provides roadmap with dates), including system-of-record governance.",,,,,,,,,
R-11,Golden record governance: Respondent supports and can evidence “golden record” governance and authoritative state design across the involved systems.,,,,,,,,,
R-12,Issuance and burn governance: Respondent supports issuance and burn governance with defined approvals and auditability.,,,,,,,,,
R-13,"Restrictions and enforcement: Respondent supports transfer restrictions (allowlists, freezes) and compliance hooks with auditability.",,,,,,,,,
R-14,Maker-checker and multi-approver: Respondent supports maker-checker and configurable multi-approver workflows for critical actions (including N-of-M policies).,,,,,,,,,
R-15,Audit trail and evidence outputs: Respondent provides end-to-end audit trail and evidence outputs suitable for regulated review.,,,,,,,,,
R-16,"Settlement processing patterns: Respondent supports settlement processing patterns (gross and/or net) and can state supported finality model(s) (on-chain, off-chain, hybrid).",,,,,,,,,
R-17,"DvP approach: Respondent supports DvP approach options and clearly states cash-leg assumptions and dependencies (banks, settlement agents, stablecoin rails, or other).",,,,,,,,,
R-18,"Reconciliation and break handling: Respondent supports reconciliation (frequency, automation, controls) including break detection, triage, resolution workflow, and evidencing.",,,,,,,,,
R-19,"Exception handling controls: Respondent supports exception handling workflows (failed/late/duplicated/corrected inputs, overrides, cancellations) with audit evidence.",,,,,,,,,
R-20,Ledger support (production): Respondent supports at least one ledger type in production and can list supported ledgers and constraints.,,,,,,,,,
R-21,Multi-ledger abstraction: Respondent provides an abstraction/interoperability approach to avoid hard dependency on a single ledger.,,,,,,,,,
R-22,"Portability and export: Respondent supports export of data, audit logs, and configuration snapshots in a portable format.",,,,,,,,,