No,Question,Answer
1,"Do you already have a solution that can be used (e.g., middleware from Kaleido)? If so, can you confirm the solution used and whether our team will have access to it?",The scope of this engagement requires a new solution designed to meet our specific requirements.
2,"If not, do you have a list of market-based orchestration solutions that you have already qualified as potentially suitable?",We would rely on vendor expertise to identify and implement the most suitable solution based on project requirements. 
3,"Shall we propose one, potentially associated with licensing costs, even though the IP ownership will not belong to BIS at the end of the project?","Any proposed solution must ensure full BIS IP ownership with no licensing costs of any kind. Solutions that involve licensing fees or do not provide full IP ownership, will not meet our requirements. "
4,"If you are not yet equipped, could the project include the development of such a platform fully owned by BIS IP, possibly by reusing/customizing open-source frameworks such as Hyperledger Cacti? If so, the timeline seems ambitious to deliver a fully operational platform.","The use of open-source frameworks is acceptable, provided the proposed solution fully meets all dependency licensing requirements. 

The solution is for a proof of concept rather than a fully operational platform."
5,"Do you want us to propose a list of components to include in the sandbox, or will this be defined jointly at the project start?","We would prefer that a vendor prepares an initial proposal for the component list. This will serve as a baseline for discussion and alignment.

Regarding the sandbox, please note that it will be configured as a non-production environment strictly designed for testing and validation purposes.
As a minimum, the following can be expected from the sandbox environment:
-	Azure subscription (West Europe)
-	Dedicated VNET with sufficient permissions
-	Network segmentation, security policies and identity/access controls
-	Ability to deploy the required Azure first party marketplace services (Virtual machines/ VM Scale sets, Kubernetes, Databases, Storage accounts, Application Gateway etc)
The following capabilities are already introduced to support agile development:
-	AKS (Kubernetes) cluster for each dev/test/staging environments with associated ACR (Container Registry) for application image management
-	Infrastructure as Code (e.g. Terraform/Bicep) for provisioning resources
-	Azure DevOps project with a project board
-	CI/CD pipelines with source code repositories
-	Argo CD GitOps approach for application deployment 
-	Infra and apps deployment templates
"
6,"Do you already have smart contract models to apply (e.g., for creating a security), or should we propose ours?",Please propose the smart contract models to be used.
7,"You mention the use of emulated RTGS and CSD. Will you provide the user stories for interacting with them, or is the definition of these use cases and technical specifications part of the work expected from our business analysts?",We would expect the selected vendor to define the detailed user stories and technical specifications based on the predefined use cases in conjunction with the Project Team. The final deliverables are outlined in the SoW 7.2.b
8,You mention the use of HTLC (chapter 7) for atomic swaps between DLTs. Do you already have a framework for defining/implementing HTLC contracts and an off-chain solution to orchestrate them?,"No, this falls within the scope of the project delivery."
9,Where will the BIS project team we interact with be located? Can we assume a fully remote collaboration in English?,"The BIS project team is primarily based in London, United Kingdom. The selected vendor will be able to collaborate with the project team in English in a hybrid format (fully remote or with some in person working)"
10,"Based on past BIS projects, how many consultants/business analysts would you recommend planning for this project?","We do not have a definite number of an expected core team from the selected vendor.  
It is advisable that the selected vendor has the resource capability and capacity to operate at least a two-team structure, as a minimum, and be sufficiently staffed to ensure timely delivery to the specified timelines stated in the ITT."
11,Do you have restrictions on the countries where our technical team can be located? Would a mixed team based in France and Tunisia be acceptable?,"No, we do not impose any restrictions on the countries in which the technical team may be located. A distributed team based across multiple countries is acceptable. The teams must operate and support UK working hours.
"
12,Can you confirm the expected core team size from the vendor side during the main delivery phase (June–October)?,See Q10.
13,How many vendors do you expect to shortlist for the presentation phase?,This is internal tender information. BIS will not share this information with all bidders
14,"Beyond the fixed-price delivery, do you foresee follow-up phases or extensions after March 2027 ?","At this stage, we do not anticipate any follow-up phases or extensions beyond March 2027."
15,For the decentralised consortium bridge variant:Is there a target or recommended number of validators that the project should assume for modelling purposes?,"For development, the number of valildators should be kept to the minimum needed to prove the logic and progress iteration. For testing and assessment, a pragmatic approach is recommended to where number of validators should be driven by the project’s objectives and use cases, which we would expect the vendor to define as part of their proposal."
16,Are there any specific security clearance or onboarding requirements for vendor staff accessing the BIS sandbox environment?,"The most appropriate access approach will be discussed and agreed during the selection process, with options including Azure B2B and BIS Cloud PC. All access will be subject to BIS’s security and compliance policies."
17,"Azure Infrastructure Access (Section 6.4): Will our DevOps team have direct 'Infrastructure as Code' (e.g., Terraform/ARM) deployment rights within the BIS Azure environment, or will environment provisioning require submitting internal BIS IT tickets?","Yes. Onboarding to the sandbox environment includes direct access to the code repositories, associated CI/CD pipelines, Azure DevOps boards, Infrastructure-as-Code (IoC) configurations, and related tooling. 
For additional information, please refer to Q5"
18,"RTGS & CSD API Readiness: Will the API specifications (e.g., Swagger) and testing environments for the RTGS/CSD emulators be fully available on Day 1? and will this same API be used in the Sync Labs by the Bank of England?","The emulators are available at the start of the project, and a vendor is welcome to adjust and enhance them to fit the specific project needs. For reference, you can review how they were used for ""Project Meridian FX – Exploring synchronised settlement in FX"" (https://www.bis.org/publ/othp94.pdf)  and ""Project Meridian Securities | Bank of England"" (https://www.bankofengland.co.uk/payment-and-settlement/rtgs-future-roadmap/project-meridian-securities) "
19,External Audit Scheduling: Does the BIS have a target calendar window for the independent third-party security audit? (We ask so we can perfectly align our Smart Contract engineers' schedules for rapid bug remediation).,"The audit is ideally targeted to conclude in alignment with the relevant use case deliverables. As a prerequisite, all in-scope components are required to be in an audit-ready state prior to the commencement for the review, as further detailed in Q72. The exact calendar window will be confirmed and communicated in due course to allow for appropriate scheduling on both sides."
20,"Decentralised Node Infrastructure (Deliverable 1.d.ii.1): For the Decentralised Bridge PoC, will the BIS provide and host the required node infrastructure to simulate the ""regulated entities""?","The necessary infrastructure for the sandbox environment will be provided, along with reasonable IT support. Please refer to Q5 for details on available capabilities. The vendor is expected to deploy and maintain the required nodes within the sandbox for the duration of the project."
21,Award Announcement & PR: Could you please clarify whether the selected vendor and BIS may issue an approved and joint announcement upon contract award and/or an announcement at project completion?,"As per BIS policy, we do NOT publicly announce the selected vendor or make joint announcements regarding the contract award and project completion. The selected suppliers shall be also aware of the clauses 18 in Annex 1a "
24,"For consortium bids, will the evaluation criteria — in particular ""Appropriateness of the skill set and experience of the bidder"" (25%) — be assessed against the consortium as a whole, or primarily against the main bidder? Similarly, does the BIS have a preference regarding the proportion of work delivered by the main bidder versus subcontractors?","We would expect detailed information regarding the consortium arrangement including a clear explanation for the rationale for such a proposal including examples of prior consortium projects and consortium structure and skills of participants.  We will assess the bidder’s skill set, in conjunction with the consortium, including an overview of the proportion of work delivered by the main contractor and subcontractors.  
"
25,"The SoW describes a single operator distributed bridge, liquidity preferences, automated liquidity rebalancing, and smart sourcing as extension/optional items. Can the BIS confirm that the core fixed-price proposal should exclude these, with separate pricing provided alongside? Would omitting these from the core proposal negatively affect evaluation scoring?","Bidders should provide a quote for the core offering, with any extension or optional items priced separately and clearly marked as such. 

As per the evaluation criteria, 25% of the assessment will be based on the proposals for the core activity. Any assessment of extension or optional items offered will be part of the wider assessment of the bid skillsets and quality."
26,"The SoW references an emulated RTGS and CSD system. Could the BIS provide API documentation or interface specifications for these emulators prior to or alongside contract execution? If not available before the submission date, can the BIS confirm that scope adjustments will be accommodated during the design phase?",See Q18
27,The ITT references adapting existing RTGS and CSD emulations. Can the BIS clarify the current technology stack and programming language of these emulators?,"The emulators are built on a containerised Python stack using Flask for REST API and SQLAchemy with PostgreSQL, pairing with a minimalistic HTML, Bootstrap and JavaScript-driven UI frontend."
28,"For Canton, the SoW references “Private Test Domain or Canton Network.” Should the vendor plan for a locally hosted Canton node within BISIH Azure, or connectivity to Digital Asset’s Canton Network?","Either option is acceptable. The vendor may choose to host a non-EVM private permissioned ledger within the sandbox. Connectivity to an external hosted network is also a plausible path, provided it meets the security and compliance requirements for external connectivity as outlined in ITT"
29,"Contracts (a.i), (a.v), (a.vi), (a.vii) are to be deployed on all ledgers, but (a.vi) and (a.vii) are subject to final agreed architecture (SoW 7, a.viii). Can the BIS confirm the deployment matrix may be revised during the design phase without constituting a scope change?","The vendor may suggest and revise how smart contracts are scoped, structured, sequenced and delivered during the design, provided all use cases remain covered, the changes are agreed with the project team and there are no impact on the project timeline or testing flow. "
30,"For Solana, given its fundamentally different programming model (programs vs smart contracts, account model vs EVM storage), does the BIS expect functional equivalence across all platforms, or are platform-appropriate design adaptations acceptable provided the same use cases are demonstrated?","Each use case requires only specific ledger functionality directly relevant to its defined scope and objective. Beyond SoW 7.2.a requirements, the vendor, at their discretion, may include any unique characteristics or considerations that fall outside the current use case definitio+E36n, provided this does not impact project performance or delivery."
31,The ITT advises a minimum two-team structure for June–November. Is there a minimum team size or FTE expectation? Would the BIS accept a proposal where team size scales across phases?,"- No, there is no minimum team size or specific FTE requirement, but the project proposal will need to account for the requirement to provide project management and business analysis support alongside technical expertise and delivery resources.
- Yes, we would accept a proposal in which the team size scales across project phases. We are open to the vendors proposing their preferred team structure and the rationale for their proposal"
32,"For consortium bids, will subcontractors’ personnel have direct access to the BISIH Azure environment (via B2B or issued development machines), or must all access be routed through the main bidder?","See Q16
"
33,"Phase 3 (Assessment) runs July–November, overlapping with Phases 1 and 2. Can the BIS clarify the expected vendor effort during this overlap — primarily documentation and analysis, or specific assessment deliverables?","During the Phase 3 overlap, vendor effort is expected to focus on both the test cases, and working with the project team on the analysis and assessment based on the initial key insights from the core deliverables of Phases 1 and 2. We would like the initial assessment to run in parallel, and we are interested in what bidders would propose for consideration in the approach to assessment."
34,"The ITT requests a fixed-price package linked to milestones. Are milestone payments made upon delivery or upon acceptance? If upon acceptance, what is the expected acceptance period?","A payment shall pay based on acceptance of deliverables. The expected acceptance period is 10 working days.
"
35,"Prices are converted to CHF for evaluation. Can the BIS confirm the exchange rate methodology (e.g., rate on submission date, ECB reference rate)?",The exchange rate will be based on the average exchange rate over the past year. The exchange is for BIS internal evaluation only. 
36,"The SoW notes third-party security audit is outside scope. Can the BIS confirm the vendor has no financial or procurement responsibility for this audit, and the obligation is limited to delivering audit-ready code?","No. The scope of the smart contract review is not limited to delivering audit-ready code. While the delivery of audit-ready code is a key milestone, vendor is expected to remediate all findings identified during the review process prior to final acceptance. This includes addressing any security vulnerabilities, logic errors or other issues surfaced through third-party audits.
To clarify, the financial and procurement responsibility for engaging any third-party audit services rests solely with BIS and is not the responsibility of the vendor.
"
37,What level of settlement finality is required before cross-ledger actions are executed (probabilistic vs deterministic)?,The design should account for how finality is determined for each supported ledger and what safeguards are in place before cross-ledger actions are executed.
38,"What mechanism should enforce atomicity across ledgers (HTLC, two-phase commit, orchestrator, MPC bridge)?",The project requires an orchestrator to coordinate cross-ledger transaction flow. The specific approach may vary depending on the use case and ledger combinations. The vendor may propose alternative or complementary mechanisms provided they address how atomicity is enforced.
39,What should happen if one leg of a cross-ledger transaction fails after another has executed?,"The proposed solution should describe the recovery mechanisms for partial execution, such as automatic rollback, retry logic, and stuck transaction handling."
40,"In terms of the evaluation of the benefits of decentralised vs centralised bridges, how do you plan to ensure this evaluation is possible? 

Are you looking for support for and direct integration with protocols like Chainlink, LayerZero and others frameworks such as the trusted bridge model?","The evaluation criteria will be shaped by the user cases and the trade off each model presents in terms of security, resilience, governance and operational complexity (refer to Q43). There is no preference for any particular framework or integration approach."
41,"For the topic of resilience to attack, are you evaluating the following (infrastructure, geographic location, smart contract, concentration) or are there other considerations ?","Resilience considerations, including infrastructure and smart contracts, are relevant across the use cases covered in ITT and SoW. Bidders are invited to take a holistic view and highlight any additional consideration that may not be explicitly covered."
42,"In the event that the BIS is considering evaluating protocols such as Chainlink and/or LayerZero, there is a hard requirement for these providers to deploy RPC infrastructure to the sandbox blockchains therefore negating the ability to fully redact and to exclude any identifiable information related to the project as they will have read/write access to the sandbox blockchains. 

How is the BIS planning to address this consideration? ","External access to the internal sandbox environment is not available. All components must be hosted and operated within the sandbox. Where public chain connectivity is required, this should be limited to testnet environments only."
43,"What trust model is acceptable for the bridge operator (centralised, consortium validators, decentralised verification)?",The project requires support for centralised (PoA) and decentralised as core trust models. Single operator is an extension. The vendor may also propose additional trust model options provided they align with the project scope.
44,Should the bridge act purely as a messaging layer or have authority to mint/burn assets?,The vendor is expected to propose the model they believe best meets the project objectives and justify their design decisions accordingly.
45,How should the bridge verify state transitions across heterogeneous ledgers (EVM vs non-EVM)?,"The proposed solution should describe how transactions are verified and confirmed across ledgers with different finality models, such as  finality confirmation, proof mechanisms, event detection and message encoding."
46,What mechanism ensures tokenised reserves cannot exist simultaneously on multiple ledgers?,The mechanism should support the principle that tokenised reserves on the source ledger is permanently and verifiably removed before any representation exists on the destination. Implementation proposal is encouraged to cover how this is achieved.  
47,"What proof should be required before minting assets on the destination ledger (proof-of-burn, validator attestation)?","The appropriate proof model might vary depending on the use case. Where more than one viable proof exists, a module design that allows different configurations to be evaluated and compared would be preferred."
48,"What controls should mitigate bridge compromise risks (MPC signing, quorum approval, circuit breakers)?",Different scenarios may call for different validation and safeguarding controls.  The response is invited to recommend which apply to each   use case and why.
49,"What monitoring, auditing, and reconciliation mechanisms are required for cross-ledger movements?","The approach should be proportionate to the ledger types, assets classes and governance model involved, covering not only the cross-ledgers event itself but ongoing consistency between ledgers. The proposal is welcome to outline suitable mechanisms and the trade-off of the alternatives considered."
50,Who should have authority to approve minting and burning of tokenised reserves across ledgers?,"We are open to proposals on how DLT bridges and tokens could be designed with appropriate safeguards to support the minting, burning, and transfer of tokenised reserves across different types of DLT ledgers, taking into account the different testing use cases."
51,"What governance framework will manage bridge upgrades, emergency shutdowns, and incident response?",The selected participants will engage in a detailed discussion on the governance framework with the project team once the project starts.
52,How should sensitive financial information be protected when transactions involve public permissionless ledgers?,"The project proposal should outline design options for development and implementation that ensure appropriate safeguards and security, while preserving privacy when transactions involve public permissionless ledgers."
53,How should liquidity be managed when deposit tokens from different banks must be converted during settlement?,"Please refer to the Statement of Work documentation, in particular sections 4.1 Liquidity Transfer, 4.6 Automated Liquidity Rebalancing (Optional – please quote separately), and 4.7 “Smart Sourcing” of Liquidity (Optional – please quote separately)."
54,What criteria will determine whether DLT-native settlement offers advantages over synchronised RTGS settlement?,"We will assess the outcomes of the experiments against key requirements, for the BIS and our project partner central banks, which will align with our respective mandates and priorities. Comparision criteria will be defined in conjunction with partners and the selected vendor(s). "
55,"What time (and time zone) is the RFP due on March 27, 2026?",End of Day (EOD) in the Swiss Time Zone
56,How many total organizations or users will require infrastructure access and logins to the experimentation sandbox? Should we plan for participating banks to engage directly in the platform?,"The sandbox environment, including access and participant management, is managed by BIS Project and IT teams. The environment supports elasticity of compute resources and autoscaling (refer to Q5) and should not present limitation for the purposes of use case validation."
57,"Are there any specific non-EVM DLT protocols (e.g., Corda, Fabric, Canton) that vendors must prioritize for the private permissioned and public permissionless networks required in Phase 1?",There are no hard requirements. Canton (ref. SoW 3.3) and Solana (ref. SoW 3.3) have been given as examples; the response is welcome to recommend alternatives based on suitability for the use cases involved.
58,"For the emulated RTGS and CSD systems provided by BIS, will these APIs be fully functional at project kickoff?",See Q18
59,"Beyond the final technical delivery and report writing in March 2027, is the platform expected to evolve into a longer-term pilot or will the sandbox be archived after evaluation?","The project is due to complete by end of March 2027. Any future work that may expand on or evolve the experiment findings will be assessed as a new project. The status of the sandbox and associated artefacts is a decision for the BIS, in line with the intellectual property ownership for the project."
60,"In section 2.2 regarding the requirement that public network data must be ""fully redacted to exclude any identifiable information,"" what specific data points does BIS consider identifiable?","Examples of data points that would need to be redacted or masked would include data that could identify the counterparties to a transaction, and the assets that are part of the transaction.

The vendors should also consider and mitigate data that does not directly identify but could potentially be used to infer the identity of any party or system referenced in ITT 2.2. The vendor shall detail how these risks are managed in the deployment of smart contracts on public networks."
61,"Whether the RTGS emulator supports cryptographic signing of confirmations (e.g., digitally signed deposit confirmations), and if so, which signature scheme is used?",RTGS emulator does not currently support cryptographic signing of confirmations. 
62,"Whether the emulator guarantees deterministic finality (i.e., no rollback scenarios)?",The emulator is a simplified representation of RTGS system and does not implement deterministic finality. It is intended to support integration testing and validation of the core payment flows rather than replicate the full production behaviour. 
63," Whether full API documentation, including detailed error-handling behaviour, will be provided at contract commencement?",See Q18
64," Could BISIH clarify whether the expectation is to deploy a self-contained Canton private test domain within the BISIH Azure environment, or to connect to an existing Canton network that BIS will provide access to? If the latter, is Canton 3 or Canton 2 the requirement?",See Q28
65,"Are there preferred identity, participant onboarding, or governance constraints that should be explicitly modelled within the Canton environment?",There are no prescriptive constraints. The vendor is expected to leverage their domain expertise to determine the most suitable approach for the defined use case.
66,"For the decentralised consortium bridge variant: Should the validator set be modelled as simulated entities within the sandbox environment, or is BIS expecting integration with real external institutional infrastructure?",Only simulated entities within the sandbox environment
67,"Could BISIH confirm whether the RTGS emulator is intended to serve as the definitive source of truth for reserve balances, against which cross-ledger token supply reconciliation must be validated?Alternatively, should reconciliation logic be implemented entirely ledger-native within the sandbox environment?","The emulator is intended for comparative analysis and appropriate reconciliation aligned with the integration testing and validation objectives, rather than serving as the definitive source of truth"
68,"For the non-functional privacy requirement: Is BIS expecting demonstrable technical hooks (e.g., modularisation enabling future confidential execution), or simply architectural provision for extensibility without implementing privacy features in this phase?","The proposed architecture should be designed in a way that does not preclude the adoption of privacy-enhancing capabilities in future phases. The approach to archiving this, whether through architecture design, extensibility points or other means, is at the vendor’s discretion. Where applicable, the vendor is encouraged to assess and outline how privacy extensibility could be accommodated within the proposed solution."
69,"For the non-functional privacy requirement: What specific privacy techniques does BIS envision for a potential future phase (e.g., zero-knowledge proofs, confidential transactions, private channels, or other mechanisms)?",See Q68
70,"Could BISIH clarify whether the UI components (Orchestrator Dashboard, Participant Portal, Authority Portal, and Visualisation Tool) are expected to be fully production-grade applications, or demonstration-grade interfaces sufficient for functional validation and executive-level walkthroughs?","The primary objective is functional validation and executive walkthroughs. While production-level hardening is not required, UIs must be interactive and visually polished."
71,"Could BISIH confirm that the use of permissive or weak copyleft licences (e.g., MIT, Apache 2.0, LGPL) is acceptable provided that compliance artefacts are delivered, and that no additional restrictions apply beyond those stated in Annex 2?","Yes, this is acceptable. No additional restriction will be imposed beyond the terms stated in Annex 2.
Please note that BIS maintains a licence compliance review process as part of its standard governance. Our code compliance experts will conduct an independent assessment of all licensed components, dependencies and associated open-source obligations at key project stages. The review may result in remediation requests related to licensing compliance and risk mitigation which have to be addressed by the vendor. 
"
72,"The SoW states that independent audits are out of scope but that contracts must be delivered “audit-ready.” Could BISIH clarify what “audit-ready” means in practice (e.g., specific documentation formats, code freeze requirements, predefined artefacts, or particular coding standards)?","Audit-ready means the smart contracts are feature-complete, full documented, thoroughly tested and conform to the recognized best practises, security guidelines and design patterns established for the target ledgers. The code must be in a state where it can be meaningfully assessed by an independent auditor without requiring further development, refactoring or clarification from the vendor. Any known issues and accepted design trade-offs must be disclosed at the time of delivery"
73,"Could BISIH confirm the specific blockchains in scope for each use case to ensure accurate environment preparation and configuration?
Use Case 1: Bridging tokenised reserves between two private permissioned ledgers (EVM to non-EVM)
Use Case 2: DvP transaction on a public permissionless ledger (EVM), using tokenised reserves on a private permissioned (EVM) DL
Use Case 3: Repurchase agreement on a private EVM permissioned ledger using collateral from a public non-EVM permissionless ledger","The BISIH does not have preferences on the specific blockchains that should be used for use cases, provided they meet the requirements set out in the tender. Where specific EVM and non-EVM blockchains are referenced, these are intended to be examples and do not indicate a preference for the project.
"
74,"Based on Section 1.4 of the BIS IT Services Terms and Conditions, acceptance of the T&Cs without modification appears to be an essential condition for entering into the Agreement, and submission of a Proposal is stated to constitute agreement to these T&Cs.

We note, however, that several provisions, including those relating to intellectual property ownership, uncapped liability, broad indemnification obligations, and restrictions on storage of confidential or strictly confidential BIS Data outside certain jurisdictions, raise material concerns for us.

Could you please confirm whether the T&Cs remain open to discussion and potential negotiation, and that submission of a Proposal will not be construed as unconditional acceptance of the T&Cs in their current form?
","Certain non-material clauses may be open to discussion.

To the extent you have material concerns about any provision, please describe them in your response."
